position,x,y
bp1,48,0
bp2,116,0
bp3,184,0
bp4,252,0
bp5,320,0
bp6,388,0
bp7,456,0
bp8,524,0
bp9,592,0
bp10,660,0
bp11,660,56
bp12,592,56
bp13,524,56
bp14,456,56
bp15,388,56
bp16,320,56
bp17,252,56
bp18,184,56
bp19,116,56
bp20,48,56
bp21,48,124
bp22,116,124
bp23,184,124
bp24,252,124
bp25,320,124
bp26,388,124
bp27,456,124
bp28,524,124
bp29,592,124
bp30,660,124
bp31,660,192
bp32,592,192
bp33,524,192
bp34,456,192
bp35,388,192
bp36,320,192
bp37,252,192
bp38,184,192
bp39,116,192
bp40,48,192
bp41,48,260
bp42,116,260
bp43,184,260
bp44,252,260
bp45,320,260
bp46,388,260
bp47,456,260
bp48,524,260
bp49,592,260
bp50,660,260
bp51,660,328
bp52,592,328
bp53,524,328
bp54,456,328
bp55,388,328
bp56,320,328
bp57,252,328
bp58,184,328
bp59,116,328
bp60,48,328
bp61,48,396
bp62,116,396
bp63,184,396
bp64,252,396
bp65,320,396
bp66,388,396
bp67,456,396
bp68,524,396
bp69,592,396
bp70,660,396
bp71,660,464
bp72,592,464
bp73,524,464
bp74,456,464
bp75,388,464
bp76,320,464
bp77,252,464
bp78,184,464
bp79,116,464
bp80,48,464
